Hz, dB, Phase
20.0000, -0.070, 31.90
25.1785, 0.137, 25.80
31.6978, 0.275, 20.20
39.9052, 0.393, 16.20
50.2377, 0.344, 12.30
63.2455, 0.534, 9.23
79.6214, 0.512, 6.47
100.2370, 0.493, 4.27
126.1910, 0.358, 3.03
158.8650, 0.407, 0.06
200.0000, 0.114, -1.70
251.7850, 0.295, -3.10
300.6400, 0.204, -3.10
312.4950, 0.170, -3.40
324.8170, 0.136, -5.00
337.6250, 0.103, -4.20
350.9380, 0.073, -2.40
364.7770, 0.047, -3.60
379.1600, 0.021, -4.20
394.1110, 0.000, -2.30
409.6520, -0.010, -2.80
425.8050, -0.010, -3.50
442.5950, -0.010, -1.70
460.0480, -0.020, -2.70
478.1880, -0.020, -2.50
497.0440, -0.020, -1.60
516.6430, -0.020, -3.00
537.0160, -0.020, -1.30
558.1910, -0.030, -2.60
580.2020, -0.040, -1.50
603.0800, -0.050, -2.20
626.8610, -0.060, -1.40
651.5790, -0.060, -2.10
677.2720, -0.070, -1.00
703.9780, -0.070, -2.10
731.7370, -0.080, -1.00
760.5910, -0.090, -1.40
790.5820, -0.110, -1.50
821.7560, -0.120, -0.50
854.1600, -0.120, -0.80
887.8410, -0.110, -0.90
922.8500, -0.080, -0.10
959.2400, -0.040, 0.22
997.0640, 0.000, -0.10
1036.3800, 0.019, -0.50
1077.2400, 0.034, -0.80
1119.7200, 0.043, -0.70
1163.8700, 0.049, -0.70
1209.7700, 0.051, -0.80
1257.4700, 0.041, -1.10
1307.0500, 0.011, -1.30
1358.5900, -0.040, -1.50
1412.1700, -0.110, -1.20
1467.8500, -0.150, -0.50
1525.7300, -0.160, 0.07
1585.8900, -0.140, 0.08
1648.4300, -0.120, 0.40
1713.4300, -0.100, 1.24
1780.9900, -0.030, 1.39
1851.2200, 0.116, 2.27
1924.2200, 0.301, 1.57
2000.0900, 0.448, 0.89
2078.9600, 0.484, -0.40
2160.9400, 0.433, -1.80
2246.1500, 0.300, -2.80
2334.7200, 0.098, -3.30
2426.7800, -0.170, -2.80
2522.4700, -0.350, -1.40
2621.9400, -0.410, 0.85
2725.3300, -0.140, 3.37
2832.7900, 0.370, 3.63
2944.4900, 0.682, 1.43
3060.6000, 0.765, -1.40
3181.2800, 0.437, -3.80
3306.7300, 0.049, -3.70
3437.1200, -0.230, -2.20
3572.6500, -0.240, 0.51
3713.5300, 0.035, 2.42
3859.9600, 0.476, 2.65
4012.1600, 0.803, 0.25
4170.3700, 0.729, -2.80
4334.8100, 0.295, -4.10
4505.7400, -0.010, -2.20
4683.4100, 0.072, 0.40
4868.0900, 0.528, 1.04
5060.0500, 0.747, -0.60
5259.5700, 0.813, -2.30
5466.9700, 0.653, -3.40
5682.5400, 0.589, -3.20
5906.6100, 0.635, -3.00
6139.5200, 0.763, -4.10
6381.6200, 0.624, -5.00
6633.2500, 0.475, -5.30
6894.8200, 0.428, -3.20
7166.6900, 0.978, -3.40
7449.2900, 1.015, -6.30
7743.0300, 0.913, -7.70
8048.3500, 0.764, -9.00
8365.7100, 0.691, -8.60
8695.5800, 0.767, -9.80
9038.4700, 0.588, -10.00
9394.8700, 0.590, -11.00
9765.3300, 0.493, -12.00
10150.3000, 0.390, -12.00
10550.6000, 0.464, -13.00
10966.6000, 0.245, -14.00
11399.1000, 0.180, -16.00
11848.5000, -0.250, -16.00
12315.8000, -0.130, -16.00
12801.4000, -0.440, -17.00
13306.2000, -0.440, -17.00
13830.9000, -0.720, -18.00
14376.2000, -0.820, -18.00
14943.1000, -1.080, -20.00
15532.4000, -1.290, -20.00
16144.8000, -1.640, -21.00
16781.5000, -1.900, -21.00
17443.2000, -2.350, -21.00
18131.0000, -2.700, -21.00
18845.9000, -3.120, -21.00
19589.1000, -3.570, -20.00
20361.5000, -4.010, -18.00
21164.4000, -4.460, -16.00
21999.0000, -4.920, -15.00
